,gene_name,frec
315,SLC2A4,3
316,KLHL32,3
317,SLC25A19,3
318,UNC5B,3
319,SLC25A2,3
320,CCDC80,3
321,AVPR1A,3
322,RP11-458D21.5,3
323,THUMPD3,3
324,UBALD1,3
325,NADK2,3
326,EXOSC5,3
327,RPL18A,3
328,LRRN4CL,3
329,DDX3X,3
330,DDX39B,3
331,HPSE,3
332,DDX39A,3
333,UCN2,3
334,THEM5,3
335,IPP,3
336,F10,3
337,B4GALT5,3
338,TGM2,3
339,CCIN,3
340,RP5-1021I20.4,3
341,UCHL1,3
342,DDX19A,3
343,B9D2,3
344,CCL15,3
345,UBQLN1,3
346,CCL4L1,3
347,RP11-80A15.1,3
348,EXOSC2,3
349,TH,3
350,EXOSC4,3
351,PARP9,3
352,DDHD2,3
353,HOXB6,3
354,NARG2,3
355,BBS4,3
356,PARP16,3
357,DCTN1,3
358,NAGK,3
359,NPEPL1,3
360,B3GAT1,3
361,CCDC89,3
362,PIAS1,3
363,RPL11,3
364,SLC27A6,3
365,UGT1A7,3
366,F2R,3
367,BCAR1,3
368,UGGT1,3
369,B3GNT7,3
370,INVS,3
371,TGFBR3,3
372,BCAP31,3
373,SLC27A1,3
374,UBE2K,3
375,PAX6,3
376,B4GALNT2,3
377,BBX,3
378,LRRK2,3
379,B4GALNT4,3
380,UBE2N,3
381,UBE2QL1,3
382,IQCB1,3
383,TEK,3
384,DCLK1,3
385,ARRDC5,3
386,ARV1,3
387,MYL12A,3
388,CYP39A1,3
389,FAM76A,3
390,PAM,3
391,FAM81B,3
392,ARSF,3
393,TCEAL6,3
394,ISG20L2,3
395,TCERG1L,3
396,TCEAL3,3
397,SLC4A1AP,3
398,MACROD1,3
399,MACROD2,3
400,NRIP2,3
401,CYP2A6,3
402,PALLD,3
403,FAM96A,3
404,ASAH1,3
405,HLA-DRB1,3
406,DCHS2,3
407,RNF10,3
408,CD97,3
409,RNF128,3
410,PITX1,3
411,CYP4Z1,3
412,ASH1L,3
413,HMCN2,3
414,IRX2,3
415,TCF7L1,3
416,IRX4,3
417,LYVE1,3
418,TCF3,3
419,MYLK2,3
420,FAM53C,3
421,ASB5,3
422,TCF21,3
423,LYSMD2,3
424,SLC44A3,3
425,VPS29,3
426,TBX4,3
427,PALD1,3
428,RIMKLB,3
429,NRROS,3
430,CDH2,3
431,TBKBP1,3
432,SLC5A6,3
433,PLA2G4C,3
434,CYCS,3
435,MAGEE2,3
436,RHCG,3
437,WDR26,3
438,ISY1,3
439,HK1,3
440,RHBDL2,3
441,WDR36,3
442,TBC1D9B,3
443,TBC1D9,3
444,ARHGEF33,3
445,ARHGEF28,3
446,CDH5,3
447,ISYNA1,3
448,TBL2,3
449,MYADM,3
450,HIST2H4A,3
451,TBPL1,3
452,RIMBP3B,3
453,PLA1A,3
454,CDH11,3
455,MAFA,3
456,RILPL1,3
457,FAR2,3
458,TBX18,3
459,MAFG,3
460,FARS2,3
461,CYP20A1,3
462,WBP11,3
463,FAS,3
464,MAG,3
465,ISOC1,3
466,FASN,3
467,TBRG1,3
468,FASTKD3,3
469,CYR61,3
470,ASNSD1,3
471,ASPDH,3
472,SLC35E1,3
473,CD164,3
474,PIGX,3
475,RP11-1167A19.2,3
476,ATP6AP2,3
477,USP2,3
478,ATP5O,3
479,TERF2,3
480,MZB1,3
481,ROPN1L,3
482,NQO2,3
483,ATP5C1,3
484,ATP2B2,3
485,USP42,3
486,FAM167B,3
487,DAPK2,3
488,FAM172A,3
489,USP49,3
490,TEKT1,3
491,FAM135A,3
492,HOXA3,3
493,DCAF12L2,3
494,PARD6A,3
495,CCRL2,3
496,UPF3A,3
497,UPK1A,3
498,SLC30A2,3
499,RP11-295K3.1,3
500,RP11-286N22.8,3
501,RP11-234B24.6,3
502,PIGK,3
503,UQCRC2,3
504,TEX30,3
505,CCZ1,3
506,URB2,3
507,FAM122C,3
508,FAM126A,3
509,RP11-192H23.4,3
510,CCZ1B,3
511,PIGO,3
512,ATP13A5,3
513,FAM178A,3
514,PITPNM3,3
515,TCTN3,3
516,SLC38A5,3
517,VAT1,3
518,KLF2,3
519,IRF7,3
520,PIP5K1A,3
521,SLC39A1,3
522,VCAN,3
523,MYO1G,3
524,TCTEX1D4,3
525,SLC35G1,3
526,VDAC2,3
527,FAM21D,3
528,KLF10,3
529,SLC39A6,3
530,KLF1,3
531,VGF,3
532,VGLL1,3
533,HMG20B,3
534,ATF7IP,3
535,LY6K,3
536,FAM203A,3
537,DAB2IP,3
538,MYOZ2,3
539,UTP14C,3
540,HNRNPA1,3
541,TEC,3
542,HNF4G,3
543,MYOM2,3
544,RNF39,3
545,PIN1,3
546,TEAD2,3
547,MYOCD,3
548,HNF1B,3
549,RNF223,3
550,CD38,3
551,RNF219,3
552,ATG2A,3
553,SLC38A1,3
554,LY6H,3
555,TIA1,3
556,CLGN,3
557,SLC25A13,3
558,SDC3,3
559,TP53I3,3
560,SDSL,3
561,ECSIT,3
562,LIMD1,3
563,C1orf233,3
564,PCK1,3
565,C1orf220,3
566,SDPR,3
567,SHANK2,3
568,NEK8,3
