,gene_name
0,ENSG00000226608.3
1,ENSG00000141401.11
2,ENSG00000131094.3
3,ENSG00000011083.8
4,ENSG00000179611.3
5,ENSG00000163064.6
6,ENSG00000025039.14
7,ENSG00000163209.14
8,ENSG00000198758.10
9,ENSG00000147485.12
10,ENSG00000138101.18
11,ENSG00000188257.10
12,ENSG00000105655.18
13,ENSG00000185519.8
14,ENSG00000232000.2
15,ENSG00000079257.7
16,ENSG00000182963.9
17,ENSG00000117069.14
18,ENSG00000092200.12
19,ENSG00000231187.2
20,ENSG00000101049.14
21,ENSG00000162949.16
22,ENSG00000105880.4
23,ENSG00000132170.19
24,ENSG00000099869.7
25,ENSG00000136944.17
26,ENSG00000138413.13
27,ENSG00000143196.4
28,ENSG00000238246.1
29,ENSG00000119655.8
30,ENSG00000156966.6
31,ENSG00000169221.13
32,ENSG00000146521.9
33,ENSG00000259583.2
34,ENSG00000272189.1
35,ENSG00000105617.3
36,ENSG00000172005.10
37,ENSG00000278952.1
38,ENSG00000269609.5
39,ENSG00000172000.7
40,ENSG00000181773.6
41,ENSG00000237580.1
42,ENSG00000197238.4
43,ENSG00000174238.14
44,ENSG00000160199.14
45,ENSG00000138080.13
46,ENSG00000234614.1
47,ENSG00000125462.16
48,ENSG00000187054.14
49,ENSG00000162174.12
50,ENSG00000122375.11
51,ENSG00000114450.9
52,ENSG00000115226.9
53,ENSG00000113088.5
54,ENSG00000185885.15
55,ENSG00000236333.3
56,ENSG00000175879.8
57,ENSG00000139445.17
58,ENSG00000166912.16
59,ENSG00000235587.2
60,ENSG00000164877.18
61,ENSG00000140557.11
62,ENSG00000174963.17
63,ENSG00000253144.1
64,ENSG00000253293.4
65,ENSG00000237988.3
66,ENSG00000176907.4
67,ENSG00000164403.14
68,ENSG00000115525.16
69,ENSG00000258376.2
70,ENSG00000091831.21
71,ENSG00000118526.6
72,ENSG00000137731.13
73,ENSG00000168159.10
74,ENSG00000198774.4
75,ENSG00000163874.8
76,ENSG00000205420.10
77,ENSG00000259171.1
78,ENSG00000082175.14
79,ENSG00000248801.6
80,ENSG00000180818.4
81,ENSG00000213853.9
82,ENSG00000116774.11
83,ENSG00000112414.14
84,ENSG00000130222.10
85,ENSG00000120068.6
86,ENSG00000224307.1
87,ENSG00000115306.15
88,ENSG00000131002.11
89,ENSG00000100319.12
90,ENSG00000187391.17
91,ENSG00000132613.14
92,ENSG00000043355.10
93,ENSG00000171557.16
94,ENSG00000135919.12
95,ENSG00000120093.11
96,ENSG00000181778.4
97,ENSG00000133863.6
98,ENSG00000267466.1
99,ENSG00000108602.17
100,ENSG00000127252.5
101,ENSG00000180525.11
