,gene_name
0,ENSG00000226608.3
1,ENSG00000141401.11
2,ENSG00000131094.3
3,ENSG00000011083.8
4,ENSG00000179611.3
5,ENSG00000163064.6
6,ENSG00000025039.14
7,ENSG00000163209.14
8,ENSG00000198758.10
9,ENSG00000147485.12
10,ENSG00000138101.18
11,ENSG00000188257.10
12,ENSG00000105655.18
13,ENSG00000185519.8
14,ENSG00000232000.2
15,ENSG00000079257.7
