,gene_name,frec
318,SYNCRIP,4
319,SYCP3,4
320,SS18L2,4
321,SUSD3,4
322,KCNK2,4
323,SS18,4
324,C1QTNF9,4
325,ZNF626,4
326,SPRR1B,4
327,STEAP1B,4
328,C15orf48,4
329,C9orf72,4
330,SPNS3,4
331,SREK1,4
332,C1orf51,4
333,C15orf61,4
334,C19orf70,4
335,C5orf34,4
336,SREK1IP1,4
337,WHSC1,4
338,SRF,4
339,C17orf107,4
340,KCNQ5,4
341,STT3B,4
342,CA4,4
343,KIAA0895,4
344,CACYBP,4
345,STAMBPL1,4
346,KDM5D,4
347,KIF2C,4
348,SPG20OS,4
349,C10orf11,4
350,C3orf67,4
351,C22orf43,4
352,KCNJ3,4
353,NOD2,4
354,KLHL22,4
355,C1orf186,4
356,ZNF623,4
357,ZNF7,4
358,BPIFB1,4
359,WFS1,4
360,PLCH2,3
361,MSH4,3
362,NSUN3,3
363,PODXL,3
364,MSLN,3
365,POF1B,3
366,MSTO1,3
367,PLBD1,3
368,PLD1,3
369,MPPED1,3
370,PROKR1,3
371,PLD5,3
372,PLS3,3
373,PLOD3,3
374,PLLP,3
375,PLEKHA1,3
376,PLGRKT,3
377,NOL6,3
378,MROH1,3
379,PLEKHB2,3
380,POFUT2,3
381,MRPS31,3
382,NT5E,3
383,PLEKHG6,3
384,POU2AF1,3
385,POLR1C,3
386,NPFF,3
387,PPP1R18,3
388,MMP23B,3
389,PPP2R5A,3
390,NOS1,3
391,NPIPB9,3
392,MMP15,3
393,MLX,3
394,PPP6R3,3
395,NPTX2,3
396,PPT2-EGFL8,3
397,MLLT4,3
398,PRKX,3
399,NOS1AP,3
400,PROK1,3
401,NOSIP,3
402,NPB,3
403,PPP1R15B,3
404,NPY,3
405,MPHOSPH9,3
406,MOXD1,3
407,MPHOSPH8,3
408,POLR2E,3
409,MPHOSPH6,3
410,POLR2G,3
411,POLR2M,3
412,POU2F3,3
413,NSMCE2,3
414,PPAN,3
415,MMRN2,3
416,PPFIA3,3
417,PPM1A,3
418,MORC4,3
419,MOB4,3
420,PPM1D,3
421,NR2F6,3
422,NQO1,3
423,PLAU,3
424,MT-ND4L,3
425,NUCB1,3
426,NAMPT,3
427,P2RX4,3
428,NFKBIZ,3
429,OTX1,3
430,NDRG1,3
431,NCR3,3
432,NINJ1,3
433,NINL,3
434,OSCAR,3
435,PCYT1B,3
436,NCOA5,3
437,NIPAL4,3
438,NCAN,3
439,PDE12,3
440,NKG2-E,3
441,NBR1,3
442,PDE3B,3
443,NBN,3
444,NAV3,3
445,NAT10,3
446,PCNXL2,3
447,P2RY10,3
448,NFIB,3
449,PCDHGB1,3
450,PARD6G,3
451,PARP6,3
452,NEURL1B,3
453,NFATC3,3
454,NEU3,3
455,NFE2,3
456,PCDHA2,3
457,NEU1,3
458,PCDP1,3
459,NDUFC2,3
460,PCGF2,3
461,NFIA,3
462,NELFA,3
463,NEK6,3
464,NDUFS6,3
465,PALM2,3
466,PCNA,3
467,PABPC4,3
468,ORM1,3
469,NPAS2,3
470,PLA2G7,3
471,NAGLU,3
472,PHF16,3
473,PHLPP2,3
474,MUSK,3
475,PHOSPHO1,3
476,PIGC,3
477,PIK3CA,3
478,ODAM,3
479,OCLN,3
480,OBSCN,3
481,NNT,3
482,NUP35,3
483,MTA2,3
484,MT2A,3
485,NUDT15,3
486,PILRB,3
487,PINLYP,3
488,PKD2L1,3
489,PLA2G4A,3
490,NUDT10,3
491,PHB2,3
492,MXRA8,3
493,PGLYRP2,3
494,PDXDC1,3
495,NACC2,3
496,PDE7B,3
497,NKTR,3
498,PDK3,3
499,NKX3-1,3
500,ORC2,3
501,PDLIM3,3
502,MYPOP,3
503,MYO7B,3
504,PGBD3,3
505,PDXK,3
506,PEBP1,3
507,MYO3B,3
508,NKX3-2,3
509,PFAS,3
510,NME7,3
511,PGAM4,3
512,MYL6B,3
513,NAIP,3
514,MAPRE1,3
515,PRPF19,3
516,SLC52A3,3
517,TAOK3,3
518,TAF8,3
519,TAC4,3
520,TAB2,3
521,SYVN1,3
522,SYT13,3
523,SYNE3,3
524,SUV420H2,3
525,SUV39H1,3
526,SULT1B1,3
527,SULT1A1,3
528,SUDS3,3
529,SUCLG2,3
530,STX16-NPEPL1,3
531,STRA6,3
532,TARBP2,3
533,TBC1D23,3
534,TBC1D31,3
535,TELO2,3
536,THBS2,3
537,THAP8,3
538,TGFBRAP1,3
539,TFPI2,3
540,TFIP11,3
541,TERF2IP,3
542,TDRD5,3
543,TBC1D3C,3
544,TDRD3,3
545,TCTEX1D2,3
546,TBXAS1,3
547,TBX5,3
548,TBX4,3
549,TBX15,3
550,STPG1,3
551,STOML2,3
552,STAT6,3
553,SMIM10,3
554,SNX22,3
555,SND1,3
556,SNAPC3,3
557,SNAPC2,3
558,SMTNL2,3
559,SMOX,3
560,SMCHD1,3
561,SOD1,3
562,SMC2,3
563,SLX4,3
564,SLX1A,3
565,SLC9A8,3
566,SLC9A4,3
567,SLC7A4,3
568,SNX27,3
569,SORD,3
570,STARD10,3
571,SPR,3
572,STAM,3
573,ST20,3
574,SSUH2,3
575,SRRD,3
576,SRL,3
577,SPRYD7,3
578,SPINT2,3
579,SOWAHA,3
580,SPECC1L,3
581,SPATA7,3
582,SPATA24,3
583,SPAST,3
584,SOX2,3
585,SOWAHC,3
586,THEM6,3
587,THOC2,3
588,TICRR,3
589,TPCN1,3
590,TRIM35,3
591,TRIM2,3
592,TRIM17,3
593,TRERF1,3
594,TRAPPC9,3
595,TPCN2,3
596,TP53INP1,3
597,TRIM54,3
598,TP53I3,3
599,TP53BP2,3
600,TOR1B,3
601,TNIP1,3
602,TNFRSF19,3
603,TNFRSF10D,3
604,TRIM45,3
605,TRIM6,3
606,TMPRSS4,3
607,TSN,3
608,TXK,3
609,TTLL4,3
610,TTC5,3
611,TTC32,3
612,TTC23,3
613,TSSK3,3
614,TSC22D3,3
615,TRIM66,3
616,TRPV6,3
617,TRPV4,3
618,TRPV2,3
619,TRPC3,3
620,TRMT1,3
621,TRIP6,3
622,TMTC1,3
623,TMPRSS11E,3
624,TIGD2,3
625,TLDC2,3
626,TM9SF4,3
627,TM9SF2,3
628,TM4SF18,3
629,TM2D3,3
630,TLL1,3
631,TLE3,3
632,TKT,3
633,TMCO1,3
634,TINAGL1,3
635,TIMP3,3
636,TIMP1,3
637,TIMM22,3
638,TIMM17B,3
639,TIGD7,3
640,TMBIM4,3
641,TMCO4,3
642,TMOD4,3
643,TMEM189,3
644,TMLHE,3
645,TMEM8A,3
646,TMEM261,3
647,TMEM222,3
648,TMEM204,3
649,TMEM201,3
650,TMEM179B,3
651,TMEFF2,3
652,TMEM143,3
653,TMEM116,3
654,TMEM109,3
655,TMEM104,3
656,TMEM102,3
657,TMEM101,3
658,SLC5A6,3
659,SLC4A7,3
660,PRPF4B,3
661,SLC4A5,3
662,RCC2,3
663,RCBTB2,3
664,RBMS3,3
665,RBM7,3
666,RBM44,3
667,RBM4,3
668,RBM33,3
669,RBM23,3
670,RBM17,3
671,RBM14-RBM4,3
672,RBCK1,3
673,RB1,3
674,RASSF3,3
675,RASL11B,3
676,RASAL2,3
677,RCL1,3
678,RELT,3
679,REPS2,3
680,RGS13,3
681,RNF157,3
682,RNASEH2B,3
683,RNASEH1,3
684,RHOF,3
685,RHBDD2,3
686,RHBDD1,3
687,RGS10,3
688,RER1,3
689,RGPD1,3
690,RFX1,3
691,RFWD2,3
692,RFNG,3
693,RFESD,3
694,REST,3
695,RAPSN,3
696,RAPGEF5,3
697,RANBP3L,3
698,PSMG3,3
699,PTPN20A,3
700,PTPLB,3
701,PTOV1,3
702,PTEN,3
703,PTCD2,3
704,PSPC1,3
705,PSME4,3
706,PYCR1,3
707,PSMD9,3
708,PSMB4,3
709,PRRT4,3
710,PRRG1,3
711,PRR13,3
712,PRPH2,3
713,PVRL4,3
714,PYGB,3
715,RAMP3,3
716,RAB3GAP1,3
717,RALGAPB,3
718,RALB,3
719,RAET1G,3
720,RAD52,3
721,RAD51B,3
722,RABEPK,3
723,RAB3D,3
724,QSOX2,3
725,RAB3B,3
726,RAB32,3
727,RAB1A,3
