,gene_name,frec
0,ENSG00000226608.3,9
1,ENSG00000141401.11,8
2,ENSG00000131094.3,7
3,ENSG00000011083.8,7
4,ENSG00000179611.3,7
5,ENSG00000163064.6,7
6,ENSG00000025039.14,7
7,ENSG00000163209.14,7
8,ENSG00000198758.10,7
9,ENSG00000147485.12,7
10,ENSG00000138101.18,7
11,ENSG00000188257.10,7
12,ENSG00000105655.18,7
13,ENSG00000185519.8,7
14,ENSG00000232000.2,7
15,ENSG00000079257.7,7
16,ENSG00000182963.9,6
17,ENSG00000117069.14,6
18,ENSG00000092200.12,6
19,ENSG00000231187.2,6
20,ENSG00000101049.14,6
21,ENSG00000162949.16,6
22,ENSG00000105880.4,6
23,ENSG00000132170.19,6
24,ENSG00000099869.7,6
25,ENSG00000136944.17,6
26,ENSG00000138413.13,6
27,ENSG00000143196.4,6
28,ENSG00000238246.1,6
29,ENSG00000119655.8,6
30,ENSG00000156966.6,6
31,ENSG00000169221.13,6
32,ENSG00000146521.9,6
33,ENSG00000259583.2,6
34,ENSG00000272189.1,6
35,ENSG00000105617.3,6
36,ENSG00000172005.10,6
37,ENSG00000278952.1,6
38,ENSG00000269609.5,6
39,ENSG00000172000.7,6
40,ENSG00000181773.6,6
41,ENSG00000237580.1,6
42,ENSG00000197238.4,6
43,ENSG00000174238.14,6
44,ENSG00000160199.14,6
45,ENSG00000138080.13,6
46,ENSG00000234614.1,6
47,ENSG00000125462.16,6
48,ENSG00000187054.14,6
49,ENSG00000162174.12,6
50,ENSG00000122375.11,6
51,ENSG00000114450.9,6
52,ENSG00000115226.9,6
53,ENSG00000113088.5,6
54,ENSG00000185885.15,6
55,ENSG00000236333.3,6
56,ENSG00000175879.8,6
57,ENSG00000139445.17,6
58,ENSG00000166912.16,6
59,ENSG00000235587.2,6
60,ENSG00000164877.18,6
61,ENSG00000140557.11,6
62,ENSG00000174963.17,6
63,ENSG00000253144.1,6
64,ENSG00000253293.4,6
65,ENSG00000237988.3,6
66,ENSG00000176907.4,6
67,ENSG00000164403.14,6
68,ENSG00000115525.16,6
69,ENSG00000258376.2,6
70,ENSG00000091831.21,6
71,ENSG00000118526.6,6
72,ENSG00000137731.13,6
73,ENSG00000168159.10,6
74,ENSG00000198774.4,6
75,ENSG00000163874.8,6
76,ENSG00000205420.10,6
77,ENSG00000259171.1,6
78,ENSG00000082175.14,6
79,ENSG00000248801.6,6
80,ENSG00000180818.4,6
81,ENSG00000213853.9,6
82,ENSG00000116774.11,6
83,ENSG00000112414.14,6
84,ENSG00000130222.10,6
85,ENSG00000120068.6,6
86,ENSG00000224307.1,6
87,ENSG00000115306.15,6
88,ENSG00000131002.11,6
89,ENSG00000100319.12,6
90,ENSG00000187391.17,6
91,ENSG00000132613.14,6
92,ENSG00000043355.10,6
93,ENSG00000171557.16,6
94,ENSG00000135919.12,6
95,ENSG00000120093.11,6
96,ENSG00000181778.4,6
97,ENSG00000133863.6,6
98,ENSG00000267466.1,6
99,ENSG00000108602.17,6
100,ENSG00000127252.5,6
101,ENSG00000180525.11,6
102,ENSG00000122194.18,5
103,ENSG00000176658.16,5
104,ENSG00000113494.16,5
105,ENSG00000177283.5,5
106,ENSG00000160117.14,5
